Винница,0,571,812,126,637,373,266,317,972,387,369,466,429,576,313,801,611,239,593,720,533,122,340,312,423
Днепропетровск,571,0,250,630,89,952,479,246,401,888,948,329,463,183,814,458,366,818,1172,222,316,701,326,891,585
Донецк,812,250,0,880,243,1202,729,496,151,1138,1198,579,713,391,1064,571,488,1068,1422,283,535,951,576,1141,826
Житомир,126,630,880,0,719,459,140,434,987,261,407,592,555,494,187,927,485,325,679,638,659,208,352,398,297
Запорожье,637,89,243,719,0,1018,568,314,394,977,1014,352,486,277,903,371,460,884,1238,303,292,767,415,957,674
Ивано-Франковск,373,952,1202,459,1018,0,599,698,1353,273,135,785,658,953,292,1124,944,137,301,1097,856,251,721,143,756
Киев,266,479,729,140,568,599,0,299,836,398,544,517,480,343,324,852,339,465,819,487,584,348,201,538,151
Кировоград,317,246,496,434,314,698,299,0,647,692,694,180,337,251,618,524,434,564,918,395,251,447,126,637,436
Луганск,972,401,151,987,394,1353,836,647,0,1245,1349,730,864,493,1171,722,535,1219,1573,303,686,1102,727,1292,873
Луцк,387,888,1138,261,977,273,398,692,1245,0,152,853,816,752,70,1188,743,163,432,896,920,268,610,336,555
Львов,369,948,1198,407,1014,135,544,694,1349,152,0,843,743,898,215,1178,889,127,278,1042,910,247,717,278,701
Николаев,466,329,579,592,352,785,517,180,730,853,843,0,134,488,779,339,671,713,1067,551,71,596,368,642,671
Одесса,429,463,713,555,486,658,480,337,864,816,743,134,0,596,742,473,779,676,959,685,205,559,453,515,634
Полтава,576,183,391,494,277,953,343,251,493,752,898,488,596,0,678,631,183,819,1173,144,499,702,271,892,412
Ровно,313,814,1064,187,903,292,324,618,1171,70,215,779,742,678,0,1114,669,158,495,823,846,192,536,331,481
Симферополь,801,458,571,927,371,1124,852,524,722,1188,1178,339,473,631,1114,0,814,1048,1402,657,279,931,649,981,959
Сумы,611,366,488,485,460,944,339,434,535,743,889,671,779,183,669,814,0,810,1164,185,682,693,343,883,338
Тернополь,239,818,1068,325,884,137,465,564,1219,163,127,713,676,819,158,1048,810,0,353,963,780,117,587,176,622
Ужгород,593,1172,1422,679,1238,301,819,918,1573,432,278,1067,959,1173,495,1402,1164,353,0,1317,1134,471,941,444,976
Харьков,720,222,283,638,303,1097,487,395,303,896,1042,551,685,144,823,657,185,963,1317,0,538,846,415,1036,523
Херсон,533,316,535,659,292,856,584,251,686,920,910,71,205,499,846,279,682,780,1134,538,0,663,411,713,738
Хмельницкий,122,701,951,208,767,251,348,447,1102,268,247,596,559,702,192,931,693,117,471,846,663,0,470,190,505
Черкассы,340,326,576,352,415,721,201,126,727,610,717,368,453,271,536,649,343,587,941,415,411,470,0,660,311
Черновцы,312,891,1141,398,957,143,538,637,1292,336,278,642,515,892,331,981,883,176,444,1036,713,190,660,0,695
Чернигов,423,585,826,297,674,756,151,436,873,555,701,671,634,412,481,959,338,622,976,523,738,505,311,695,0
